CustomerID,CustomerName,Country,SignupDate,Tier
C0001,William Patel,United Kingdom,2023-02-16,new
C0002,Aarav Williams,Singapore,2023-12-06,loyal
C0003,Emma Brown,France,2023-04-19,at_risk
C0004,Riya Patel,United States,2023-11-25,new
C0005,Charlotte Nair,India,2023-11-24,potential
C0006,Aditya Iyer,India,2023-11-02,new
C0007,Ava Verma,India,2024-05-12,lost
C0008,Aarav Khan,Canada,2023-01-11,lost
C0009,James Brown,United States,2023-01-26,at_risk
C0010,Rohan Chopra,Germany,2024-02-07,loyal
C0011,Aarav Nair,India,2023-06-20,lost
C0012,James Malhotra,Singapore,2023-05-05,lost
C0013,Lucas Nair,Australia,2023-03-06,loyal
C0014,Ava Brown,India,2024-02-07,lost
C0015,Mason Iyer,India,2023-10-17,lost
C0016,Liam Sharma,India,2023-04-16,at_risk
C0017,Henry Smith,United Kingdom,2023-02-05,at_risk
C0018,Lucas Rossi,United States,2024-02-29,potential
C0019,Noah Williams,United Kingdom,2024-01-27,champion
C0020,Riya Johnson,India,2023-10-11,potential
C0021,Henry Garcia,United States,2023-04-17,lost
C0022,Isha Khan,India,2023-10-28,champion
C0023,Ethan Patel,India,2023-04-21,potential
C0024,Sophia Muller,United Kingdom,2024-02-21,potential
C0025,Diya Williams,United Kingdom,2024-03-21,at_risk
C0026,Harper Verma,Australia,2023-04-30,lost
C0027,Amelia Kumar,India,2023-06-18,potential
C0028,Priya Patel,United States,2024-02-01,potential
C0029,Meera Dubois,United States,2023-03-17,new
C0030,Aditya Nair,India,2024-02-08,at_risk
C0031,Olivia Malhotra,United States,2024-04-06,loyal
C0032,Diya Muller,India,2023-11-02,at_risk
C0033,Kabir Johnson,India,2023-01-02,loyal
C0034,Lucas Khan,Singapore,2023-05-22,loyal
C0035,Vivaan Fischer,Singapore,2024-03-15,at_risk
C0036,Emma Jones,Australia,2023-03-16,potential
C0037,Aditya Brown,United Kingdom,2023-03-08,lost
C0038,Sara Patel,India,2023-10-04,potential
C0039,Ethan Williams,Germany,2023-05-09,at_risk
C0040,Mason Malhotra,United Kingdom,2024-02-13,new
C0041,Arjun Muller,India,2023-03-31,champion
C0042,Ananya Muller,United States,2023-02-26,new
C0043,Sophia Johnson,India,2023-12-05,loyal
C0044,Charlotte Williams,UAE,2024-03-19,lost
C0045,Lucas Fischer,India,2023-01-14,loyal
C0046,William Khan,Germany,2023-03-09,potential
C0047,Diya Malhotra,United Kingdom,2023-01-08,loyal
C0048,Ananya Nair,United States,2023-07-03,lost
C0049,Amelia Brown,United States,2024-02-09,at_risk
C0050,Ananya Kumar,India,2024-02-08,at_risk
C0051,Ethan Williams,Singapore,2023-05-02,champion
C0052,Meera Malhotra,France,2023-10-29,new
C0053,Lucas Nair,UAE,2023-06-15,loyal
C0054,Emma Fischer,Canada,2023-01-09,lost
C0055,Noah Verma,United States,2023-03-31,loyal
C0056,Emma Verma,UAE,2023-05-16,loyal
C0057,Harper Garcia,India,2023-01-27,champion
C0058,Ethan Williams,India,2023-03-06,at_risk
C0059,Aditya Johnson,India,2024-01-15,at_risk
C0060,Meera Iyer,United Kingdom,2023-08-04,champion
C0061,Karan Garcia,United Kingdom,2023-09-27,new
C0062,James Malhotra,India,2023-02-28,at_risk
C0063,Mia Dubois,Australia,2024-01-17,at_risk
C0064,Karan Malhotra,United Kingdom,2023-02-02,potential
C0065,Mason Gupta,India,2023-09-01,potential
C0066,Liam Gupta,United States,2023-08-18,at_risk
C0067,Emma Nair,India,2024-02-03,loyal
C0068,Priya Williams,Australia,2023-07-05,loyal
C0069,Amelia Iyer,India,2023-09-20,lost
C0070,Ava Iyer,Netherlands,2023-10-31,lost
C0071,Ethan Muller,France,2023-02-25,potential
C0072,Emma Gupta,India,2023-08-20,potential
C0073,Rohan Singh,India,2023-09-15,new
C0074,Aditya Verma,Australia,2023-04-24,potential
C0075,Sara Patel,Germany,2024-04-29,champion
C0076,Riya Malhotra,France,2023-11-11,loyal
C0077,Ananya Fischer,France,2023-01-23,new
C0078,Ava Chopra,India,2024-01-08,new
C0079,Aditya Dubois,United Kingdom,2024-02-06,champion
C0080,Ethan Chopra,India,2024-04-10,loyal
C0081,Mason Reddy,Canada,2024-03-19,loyal
C0082,Liam Nair,United States,2023-12-04,new
C0083,Sara Sharma,United Kingdom,2023-09-24,champion
C0084,Charlotte Patel,India,2023-06-04,loyal
C0085,Charlotte Nair,United Kingdom,2023-08-23,new
C0086,Henry Williams,United Kingdom,2023-11-26,loyal
C0087,Henry Malhotra,France,2024-05-08,new
C0088,Noah Patel,Germany,2023-01-16,loyal
C0089,Olivia Rossi,Canada,2023-02-01,loyal
C0090,Ananya Kumar,United Kingdom,2023-09-03,loyal
C0091,Aarav Williams,India,2024-03-09,new
C0092,Rohan Smith,France,2023-07-25,lost
C0093,Rohan Patel,France,2023-08-07,lost
C0094,Sara Malhotra,United States,2023-12-18,potential
C0095,Olivia Malhotra,France,2023-02-25,new
C0096,Rohan Chopra,United States,2023-09-09,loyal
C0097,James Gupta,United States,2023-12-31,potential
C0098,Sophia Smith,United Kingdom,2024-04-10,lost
C0099,Priya Reddy,India,2023-08-16,champion
C0100,Meera Sharma,India,2023-02-07,loyal
C0101,Diya Garcia,India,2024-04-05,loyal
C0102,Mia Sharma,Germany,2023-02-11,champion
C0103,Isha Muller,United Kingdom,2023-06-14,loyal
C0104,Karan Jones,United States,2023-11-08,at_risk
C0105,Emma Verma,UAE,2023-03-17,potential
C0106,Emma Iyer,India,2023-02-03,lost
C0107,Aditya Khan,United Kingdom,2023-03-06,lost
C0108,Amelia Singh,France,2023-05-21,potential
C0109,Arjun Khan,India,2023-11-16,potential
C0110,Henry Nair,India,2023-11-21,potential
C0111,Henry Gupta,India,2023-10-27,at_risk
C0112,Riya Fischer,India,2023-10-08,potential
C0113,Mia Nair,UAE,2023-12-31,new
C0114,Ananya Williams,Australia,2023-06-16,potential
C0115,Rohan Chopra,Germany,2023-07-15,at_risk
C0116,Ava Johnson,Canada,2023-11-02,potential
C0117,Meera Nair,Australia,2023-09-29,potential
C0118,Henry Johnson,India,2023-05-31,lost
C0119,Lucas Jones,Canada,2023-08-21,new
C0120,Ethan Fischer,United States,2023-09-16,loyal
C0121,William Muller,Australia,2023-11-06,lost
C0122,Mason Reddy,Canada,2023-08-09,at_risk
C0123,Mason Patel,United Kingdom,2023-02-20,lost
C0124,Emma Brown,India,2024-02-11,new
C0125,Aditya Garcia,India,2023-12-26,potential
C0126,Aarav Iyer,United Kingdom,2023-02-28,champion
C0127,Priya Brown,Australia,2024-03-12,potential
C0128,Kabir Brown,Canada,2023-12-02,at_risk
C0129,Aarav Khan,India,2023-11-30,new
C0130,Lucas Malhotra,United States,2024-03-25,potential
C0131,Vivaan Brown,United Kingdom,2024-01-29,loyal
C0132,Aditya Verma,India,2023-10-10,lost
C0133,Sara Garcia,India,2024-01-05,lost
C0134,Aditya Reddy,United Kingdom,2024-03-19,at_risk
C0135,Emma Williams,Singapore,2023-04-21,loyal
C0136,Charlotte Singh,United Kingdom,2023-08-09,potential
C0137,James Nair,United States,2023-08-20,champion
C0138,Riya Iyer,Germany,2024-03-30,lost
C0139,Kabir Singh,United Kingdom,2023-04-27,loyal
C0140,Emma Singh,Netherlands,2023-07-31,at_risk
C0141,Harper Rossi,Singapore,2023-06-23,potential
C0142,James Patel,India,2024-02-28,at_risk
C0143,Isha Fischer,United States,2023-08-21,new
C0144,Ava Muller,United Kingdom,2023-07-24,lost
C0145,Ava Rossi,India,2023-08-01,loyal
C0146,Mason Verma,India,2024-01-09,champion
C0147,Charlotte Malhotra,United States,2023-02-18,loyal
C0148,William Patel,United States,2023-06-10,lost
C0149,Vivaan Dubois,India,2023-08-07,lost
C0150,Amelia Garcia,India,2023-06-10,at_risk
C0151,Harper Patel,UAE,2023-12-07,new
C0152,Emma Johnson,India,2023-05-11,new
C0153,James Nair,India,2023-07-11,loyal
C0154,Mason Gupta,United States,2024-05-03,lost
C0155,Ava Smith,Netherlands,2023-03-20,potential
C0156,Liam Kumar,India,2023-12-18,potential
C0157,Emma Khan,Germany,2024-04-17,at_risk
C0158,Mason Nair,France,2023-08-31,champion
C0159,Isha Verma,India,2023-02-04,loyal
C0160,William Nair,France,2023-02-16,new
C0161,Arjun Sharma,United Kingdom,2024-03-01,loyal
C0162,Aditya Brown,Germany,2023-02-13,new
C0163,Ananya Rossi,Germany,2023-02-17,loyal
C0164,Mia Singh,United States,2023-08-10,potential
C0165,James Dubois,India,2023-02-19,potential
C0166,Karan Verma,Australia,2024-01-17,potential
C0167,Ananya Dubois,United Kingdom,2024-01-14,new
C0168,Aarav Dubois,India,2023-07-10,potential
C0169,Liam Kumar,India,2024-02-20,at_risk
C0170,Olivia Rossi,United States,2023-03-08,at_risk
C0171,Lucas Nair,Germany,2023-10-12,new
C0172,Charlotte Singh,India,2023-01-31,lost
C0173,Riya Johnson,United States,2023-10-28,new
C0174,Olivia Johnson,India,2024-05-04,loyal
C0175,Vivaan Iyer,Germany,2023-10-15,champion
C0176,Amelia Nair,India,2023-10-15,potential
C0177,Vivaan Garcia,Germany,2023-06-18,at_risk
C0178,Vivaan Verma,United Kingdom,2023-12-10,champion
C0179,Kabir Singh,UAE,2023-03-04,at_risk
C0180,Rohan Reddy,India,2023-07-30,at_risk
C0181,Ananya Verma,United Kingdom,2023-07-01,potential
C0182,Rohan Khan,India,2024-03-23,new
C0183,Sara Smith,UAE,2023-12-07,loyal
C0184,Aditya Chopra,Canada,2024-04-26,champion
C0185,Aditya Fischer,India,2024-01-20,new
C0186,Sara Brown,Germany,2023-08-05,at_risk
C0187,Ethan Patel,Australia,2024-03-20,new
C0188,Karan Iyer,United States,2024-04-13,potential
C0189,Emma Iyer,United States,2024-01-05,loyal
C0190,Diya Verma,India,2023-01-27,lost
C0191,Diya Khan,India,2024-05-10,new
C0192,Ava Fischer,Canada,2023-05-28,new
C0193,Kabir Iyer,UAE,2023-11-04,potential
C0194,Rohan Garcia,Germany,2023-06-09,at_risk
C0195,Meera Williams,United Kingdom,2023-06-30,potential
C0196,James Fischer,United Kingdom,2023-02-23,loyal
C0197,Lucas Garcia,France,2023-10-23,lost
C0198,Emma Williams,Canada,2023-09-17,loyal
C0199,Ethan Gupta,Canada,2023-04-19,lost
C0200,Charlotte Malhotra,France,2023-03-21,potential
C0201,Olivia Kumar,Germany,2023-12-03,loyal
C0202,Noah Khan,India,2023-09-04,at_risk
C0203,Aarav Kumar,India,2023-04-25,lost
C0204,Diya Iyer,Canada,2024-03-09,new
C0205,Isha Khan,United States,2023-02-25,lost
C0206,Priya Johnson,India,2023-06-29,new
C0207,Rohan Williams,India,2024-03-08,new
C0208,Riya Muller,Germany,2023-10-12,lost
C0209,Karan Khan,India,2023-07-08,loyal
C0210,Karan Brown,India,2023-02-28,at_risk
C0211,Sophia Jones,United States,2024-01-26,loyal
C0212,Ananya Kumar,Germany,2023-05-23,lost
C0213,Arjun Nair,Germany,2023-10-21,lost
C0214,Lucas Jones,India,2023-04-26,champion
C0215,Diya Malhotra,France,2024-02-18,new
C0216,Rohan Sharma,India,2023-08-08,lost
C0217,Charlotte Nair,United Kingdom,2024-03-08,loyal
C0218,Olivia Fischer,France,2023-10-15,at_risk
C0219,Isha Gupta,Germany,2024-05-13,lost
C0220,Liam Patel,Canada,2024-01-28,champion
C0221,Karan Patel,Germany,2024-02-24,new
C0222,Amelia Nair,United States,2023-11-15,potential
C0223,Riya Williams,India,2023-11-11,lost
C0224,Olivia Chopra,United Kingdom,2023-12-12,lost
C0225,James Garcia,India,2023-11-26,lost
C0226,James Fischer,India,2023-10-13,at_risk
C0227,William Williams,Netherlands,2023-01-14,lost
C0228,Rohan Singh,United Kingdom,2023-11-08,lost
C0229,Liam Verma,Canada,2024-04-20,potential
C0230,Aditya Malhotra,Germany,2023-12-03,lost
C0231,Ava Williams,Australia,2024-02-29,champion
C0232,Vivaan Sharma,United States,2023-12-22,at_risk
C0233,Noah Gupta,United States,2023-05-17,loyal
C0234,William Williams,United States,2023-01-15,loyal
C0235,Ananya Kumar,India,2023-04-03,champion
C0236,Priya Rossi,France,2023-05-20,new
C0237,Priya Sharma,India,2023-12-26,potential
C0238,Isha Khan,India,2024-01-26,new
C0239,Karan Gupta,Germany,2023-06-08,champion
C0240,Priya Verma,India,2024-04-16,potential
C0241,Arjun Muller,Singapore,2023-06-23,at_risk
C0242,Kabir Nair,Singapore,2023-06-29,new
C0243,Riya Rossi,UAE,2023-01-04,potential
C0244,Riya Verma,United Kingdom,2023-04-03,new
C0245,Olivia Muller,India,2024-03-21,lost
C0246,Karan Verma,UAE,2023-03-15,new
C0247,Karan Muller,United Kingdom,2023-10-17,loyal
C0248,James Fischer,Singapore,2023-12-03,champion
C0249,Emma Fischer,Singapore,2023-07-25,lost
C0250,Isha Muller,Canada,2023-02-05,champion
C0251,Henry Nair,India,2023-03-14,lost
C0252,Karan Rossi,United Kingdom,2024-01-15,at_risk
C0253,Diya Gupta,Canada,2023-11-21,lost
C0254,Meera Brown,United Kingdom,2024-05-12,new
C0255,Sara Smith,India,2023-01-16,lost
C0256,Harper Smith,United States,2023-02-16,potential
C0257,Karan Rossi,UAE,2024-01-18,new
C0258,Aarav Smith,Germany,2023-09-29,potential
C0259,Amelia Garcia,United States,2023-04-21,at_risk
C0260,Harper Rossi,India,2023-07-12,new
C0261,Harper Fischer,United States,2023-08-03,lost
C0262,Sara Brown,Netherlands,2023-08-21,lost
C0263,Liam Smith,India,2023-06-24,new
C0264,Harper Patel,United States,2023-03-22,potential
C0265,Ethan Verma,Canada,2023-07-09,potential
C0266,Sara Singh,France,2023-06-09,new
C0267,Emma Johnson,Germany,2024-01-05,loyal
C0268,Arjun Kumar,Germany,2023-06-16,loyal
