InvoiceNo,InvoiceDate,CustomerID,CustomerName,Country,ProductID,ProductName,Category,Quantity,UnitPrice,TotalPrice
INV1845,2024-05-24,C0075,Sara Patel,Germany,P0080,Body Lotion Pro,Beauty & Personal Care,5,2339.17,11695.85
INV7407,2024-10-04,C0603,Charlotte Nair,India,P0094,Fountain Pen Pro,Books & Stationery,5,561.98,2809.9
INV1804,2023-06-23,C0073,Rohan Singh,India,P0099,Puzzle Book,Books & Stationery,6,290.05,1740.3
INV2096,2024-06-01,C0090,Ananya Kumar,United Kingdom,P0097,Art Supplies Kit,Books & Stationery,6,776.04,4656.24
INV1252,2024-09-28,C0028,Priya Patel,United States,P0109,Skipping Rope,Sports & Fitness,6,1096.82,6580.92
INV3003,2024-11-14,C0175,Vivaan Iyer,Germany,P0007,Power Bank,Electronics,4,9638.04,38552.16
INV7449,2024-10-01,C0611,Priya Gupta,India,P0039,Bedsheet Set,Home & Kitchen,4,2592.62,10370.48
INV7354,2024-05-25,C0598,Aditya Garcia,India,P0064,Moisturizer Pro,Beauty & Personal Care,1,1646.37,1646.37
INV9213,2024-11-19,C0781,Mason Muller,Germany,P0012,Laptop Stand Pro,Electronics,1,7437.61,7437.61
INV8163,2024-07-23,C0682,Lucas Patel,India,P0029,Cushion Cover Set,Home & Kitchen,4,2981.87,11927.48
INV3966,2024-10-03,C0269,Sophia Jones,United Kingdom,P0113,Gym Bag,Sports & Fitness,6,1251.7,7510.2
INV7094,2023-07-11,C0575,Emma Fischer,Canada,P0041,Cotton T-Shirt,Fashion,4,2442.24,9768.96
INV1315,2024-09-17,C0033,Kabir Johnson,India,P0038,Wall Clock Pro,Home & Kitchen,1,4273.88,4273.88
INV8031,2024-11-20,C0666,Noah Chopra,India,P0097,Art Supplies Kit,Books & Stationery,6,916.95,5501.7
INV1316,2024-06-24,C0033,Kabir Johnson,India,P0082,Notebook Set Pro,Books & Stationery,1,712.91,712.91
INV5157,2024-10-28,C0395,Kabir Iyer,United Kingdom,P0074,Hair Dryer Pro,Beauty & Personal Care,5,338.19,1690.95
INV8680,2024-11-02,C0724,Meera Chopra,France,P0079,Body Lotion,Beauty & Personal Care,5,1914.82,9574.1
INV8499,2024-10-16,C0707,Ananya Khan,United Kingdom,P0095,Bookmark Set,Books & Stationery,1,439.98,439.98
INV1225,2023-09-06,C0024,Sophia Muller,United Kingdom,P0020,Phone Case Pro,Electronics,1,4785.81,4785.81
INV7462,2023-03-29,C0611,Priya Gupta,India,P0120,Football Pro,Sports & Fitness,4,1627.28,6509.12
INV2707,2024-05-13,C0147,Charlotte Malhotra,United States,P0100,Puzzle Book Pro,Books & Stationery,2,817.45,1634.9
INV4476,2024-04-21,C0317,Charlotte Johnson,United Kingdom,P0059,Winter Hoodie,Fashion,6,2341.24,14047.44
INV5406,2024-12-05,C0416,Emma Gupta,United Kingdom,P0017,Wireless Mouse,Electronics,1,5970.91,5970.91
INV8867,2024-12-25,C0742,Ananya Johnson,United Kingdom,P0069,Lipstick,Beauty & Personal Care,4,720.89,2883.56
INV6670,2024-12-27,C0528,Harper Chopra,India,P0059,Winter Hoodie,Fashion,5,1417.0,7085.0
INV7775,2024-12-30,C0636,Olivia Jones,United Kingdom,P0045,Running Shoes,Fashion,3,2058.72,6176.16
INV7884,2024-10-12,C0644,Ethan Kumar,United Kingdom,P0112,Cycling Gloves Pro,Sports & Fitness,4,786.98,3147.92
INV8401,2024-09-06,C0699,Meera Iyer,India,P0063,Moisturizer,Beauty & Personal Care,6,944.29,5665.74
INV6692,2024-10-10,C0533,Ava Jones,Netherlands,P0027,Storage Boxes,Home & Kitchen,1,2397.9,2397.9
INV5165,2024-12-25,C0395,Kabir Iyer,United Kingdom,P0014,Webcam Pro,Electronics,6,1402.0,8412.0
INV6491,2024-06-19,C0511,William Singh,United States,P0107,Water Bottle,Sports & Fitness,6,2346.9,14081.4
INV7426,2023-07-14,C0606,Rohan Muller,United Kingdom,P0118,Fitness Tracker Pro,Sports & Fitness,5,416.48,2082.4
